ID,Time,Group,Sample
a1,D0,ITM,4870
a2,D0,ITM,8570
a3,D0,ITM,8958
a4,D0,ITM,11310
a5,D0,ITM,11616
a6,D0,ITM,11666
a7,D0,ITM,12551
a8,D0,ITM,13576
a9,D0,ITM,13596
a10,D0,ITM,13780
a11,D0,OTM1,3994
a12,D0,OTM1,7188
a13,D0,OTM1,7503
a14,D0,OTM1,9471
a15,D0,OTM1,13377
a16,D0,OTM1,10773
a17,D0,OTM1,12031
a18,D0,OTM1,12931
a19,D0,OTM1,13080
a20,D0,OTM1,9705
a21,D0,OTM2,4773
a22,D0,OTM2,6149
a23,D0,OTM2,8017
a24,D0,OTM2,8136
a25,D0,OTM2,8437
a26,D0,OTM2,12048
a27,D0,OTM2,13702
a28,D0,OTM2,13876
a29,D0,OTM2,13968
a30,D0,OTM2,13985
a31,D30,ITM,4870
a32,D30,ITM,8570
a33,D30,ITM,8958
a34,D30,ITM,11310
a35,D30,ITM,11616
a36,D30,ITM,11666
a37,D30,ITM,12551
a38,D30,ITM,13576
a39,D30,ITM,13596
a40,D30,ITM,13780
a41,D30,OTM1,3994
a42,D30,OTM1,7188
a43,D30,OTM1,7503
a44,D30,OTM1,9471
a45,D30,OTM1,13377
a46,D30,OTM1,10773
a47,D30,OTM1,12031
a48,D30,OTM1,12931
a49,D30,OTM1,13080
a50,D30,OTM1,9705
a51,D30,OTM2,4773
a52,D30,OTM2,6149
a53,D30,OTM2,8017
a54,D30,OTM2,8136
a55,D30,OTM2,8437
a56,D30,OTM2,12048
a57,D30,OTM2,13702
a58,D30,OTM2,13876
a59,D30,OTM2,13968
a60,D30,OTM2,13985
a61,D60,ITM,4870
a62,D60,ITM,8570
a63,D60,ITM,8958
a64,D60,ITM,11310
a65,D60,ITM,11616
a66,D60,ITM,11666
a67,D60,ITM,12551
a68,D60,ITM,13576
a69,D60,ITM,13596
a70,D60,ITM,13780
a71,D60,OTM1,3994
a72,D60,OTM1,7188
a73,D60,OTM1,7503
a74,D60,OTM1,9471
a75,D60,OTM1,13377
a76,D60,OTM1,10773
a77,D60,OTM1,12031
a78,D60,OTM1,12931
a79,D60,OTM1,13080
a80,D60,OTM1,9705
a81,D60,OTM2,4773
a82,D60,OTM2,6149
a83,D60,OTM2,8017
a84,D60,OTM2,8136
a85,D60,OTM2,8437
a86,D60,OTM2,12048
a87,D60,OTM2,13702
a88,D60,OTM2,13876
a89,D60,OTM2,13968
a90,D60,OTM2,13985
a91,D90,ITM,4870
a92,D90,ITM,8570
a93,D90,ITM,8958
a94,D90,ITM,11310
a95,D90,ITM,11616
a96,D90,ITM,11666
a97,D90,ITM,12551
a98,D90,ITM,13576
a99,D90,ITM,13596
a100,D90,ITM,13780
a101,D90,OTM1,3994
a102,D90,OTM1,7188
a103,D90,OTM1,7503
a104,D90,OTM1,9471
a105,D90,OTM1,13377
a106,D90,OTM1,10773
a107,D90,OTM1,12031
a108,D90,OTM1,12931
a109,D90,OTM1,13080
a110,D90,OTM1,9705
a111,D90,OTM2,4773
a112,D90,OTM2,6149
a113,D90,OTM2,8017
a114,D90,OTM2,8136
a115,D90,OTM2,8437
a116,D90,OTM2,12048
a117,D90,OTM2,13702
a118,D90,OTM2,13876
a119,D90,OTM2,13968
a120,D90,OTM2,13985
