	a1	a10	a100	a101	a102	a103	a104	a105	a106	a107	a108	a109	a11	a110	a111	a112	a113	a114	a115	a116	a117	a118	a119	a12	a120	a13	a14	a15	a16	a17	a18	a19	a2	a20	a21	a22	a23	a24	a25	a26	a27	a28	a29	a3	a30	a31	a32	a33	a34	a35	a36	a37	a38	a39	a4	a40	a41	a42	a43	a44	a45	a46	a47	a48	a49	a5	a50	a51	a52	a53	a54	a55	a56	a57	a58	a59	a6	a60	a61	a62	a63	a64	a65	a66	a67	a68	a69	a7	a70	a71	a72	a73	a74	a75	a76	a77	a78	a79	a8	a80	a81	a82	a83	a84	a85	a86	a87	a88	a89	a9	a90	a91	a92	a93	a94	a95	a96	a97	a98	a99
a1	0.0	0.82	0.724	0.888	0.828	0.86	0.88	0.86	0.888	0.872	0.844	0.836	0.804	0.652	0.82	0.836	0.888	0.852	0.84	0.876	0.856	0.892	0.82	0.704	0.864	0.848	0.596	0.448	0.808	0.896	0.712	0.58	0.572	0.616	0.72	0.596	0.876	0.644	0.84	0.516	0.684	0.756	0.776	0.472	0.584	0.86	0.604	0.78	0.54	0.78	0.672	0.868	0.764	0.712	0.468	0.808	0.856	0.824	0.692	0.772	0.828	0.696	0.824	0.828	0.848	0.62	0.672	0.772	0.828	0.86	0.868	0.852	0.868	0.82	0.836	0.872	0.46	0.832	0.8	0.5	0.836	0.764	0.884	0.7	0.84	0.784	0.756	0.52	0.808	0.68	0.84	0.824	0.676	0.652	0.824	0.912	0.86	0.756	0.644	0.86	0.852	0.864	0.868	0.848	0.892	0.816	0.836	0.784	0.908	0.792	0.872	0.864	0.788	0.776	0.856	0.816	0.636	0.824	0.592	0.832
a10	0.82	0.0	0.772	0.832	0.78	0.832	0.844	0.796	0.816	0.804	0.788	0.808	0.752	0.756	0.768	0.784	0.812	0.812	0.816	0.788	0.772	0.812	0.78	0.74	0.8	0.792	0.796	0.852	0.732	0.828	0.74	0.848	0.816	0.82	0.792	0.78	0.808	0.844	0.76	0.788	0.78	0.808	0.828	0.9	0.808	0.8	0.824	0.784	0.816	0.82	0.76	0.788	0.76	0.76	0.836	0.756	0.812	0.744	0.76	0.78	0.732	0.772	0.756	0.808	0.784	0.756	0.764	0.784	0.764	0.78	0.796	0.784	0.8	0.84	0.816	0.784	0.844	0.788	0.792	0.8	0.792	0.784	0.824	0.812	0.808	0.784	0.796	0.788	0.696	0.804	0.764	0.8	0.784	0.796	0.764	0.828	0.784	0.768	0.776	0.796	0.8	0.8	0.808	0.832	0.852	0.776	0.804	0.748	0.812	0.752	0.748	0.784	0.756	0.8	0.8	0.784	0.812	0.764	0.808	0.776
a100	0.724	0.772	0.0	0.808	0.704	0.708	0.848	0.732	0.8	0.744	0.752	0.668	0.704	0.612	0.72	0.7	0.756	0.704	0.74	0.772	0.768	0.808	0.78	0.588	0.764	0.684	0.636	0.692	0.748	0.732	0.612	0.676	0.668	0.652	0.568	0.648	0.692	0.644	0.768	0.624	0.616	0.636	0.692	0.74	0.644	0.716	0.64	0.688	0.62	0.712	0.616	0.688	0.632	0.596	0.676	0.724	0.7	0.716	0.628	0.636	0.656	0.624	0.716	0.704	0.708	0.628	0.604	0.648	0.668	0.72	0.776	0.728	0.784	0.756	0.808	0.768	0.688	0.648	0.7	0.652	0.752	0.68	0.724	0.628	0.688	0.624	0.604	0.68	0.74	0.652	0.692	0.688	0.652	0.628	0.66	0.864	0.78	0.676	0.628	0.712	0.736	0.752	0.8	0.748	0.84	0.712	0.744	0.688	0.86	0.676	0.732	0.704	0.608	0.664	0.68	0.728	0.648	0.66	0.636	0.672
a101	0.888	0.832	0.808	0.0	0.844	0.804	0.856	0.824	0.78	0.784	0.82	0.816	0.82	0.856	0.796	0.836	0.844	0.872	0.848	0.796	0.796	0.8	0.792	0.856	0.82	0.816	0.908	0.932	0.836	0.876	0.852	0.896	0.904	0.896	0.864	0.9	0.848	0.904	0.876	0.92	0.84	0.924	0.928	0.98	0.896	0.78	0.912	0.876	0.876	0.876	0.828	0.756	0.852	0.792	0.912	0.8	0.784	0.764	0.816	0.82	0.828	0.848	0.796	0.796	0.848	0.844	0.808	0.836	0.784	0.82	0.824	0.804	0.816	0.864	0.848	0.804	0.896	0.752	0.812	0.88	0.788	0.8	0.816	0.828	0.792	0.832	0.876	0.868	0.712	0.82	0.748	0.808	0.856	0.816	0.772	0.84	0.836	0.848	0.86	0.748	0.868	0.832	0.844	0.828	0.864	0.808	0.84	0.796	0.848	0.848	0.768	0.808	0.8	0.78	0.76	0.744	0.8	0.784	0.916	0.812
a102	0.828	0.78	0.704	0.844	0.0	0.688	0.78	0.744	0.82	0.716	0.652	0.664	0.668	0.72	0.788	0.708	0.656	0.716	0.776	0.784	0.788	0.824	0.784	0.68	0.74	0.684	0.696	0.776	0.736	0.716	0.724	0.692	0.764	0.76	0.684	0.7	0.652	0.744	0.832	0.716	0.704	0.676	0.708	0.868	0.724	0.676	0.712	0.752	0.728	0.716	0.7	0.732	0.748	0.708	0.74	0.752	0.736	0.74	0.692	0.708	0.724	0.7	0.664	0.664	0.668	0.7	0.732	0.684	0.688	0.692	0.72	0.676	0.816	0.756	0.776	0.748	0.776	0.72	0.716	0.724	0.784	0.716	0.764	0.72	0.692	0.756	0.676	0.772	0.8	0.752	0.692	0.64	0.76	0.732	0.644	0.84	0.756	0.716	0.74	0.708	0.74	0.728	0.744	0.784	0.816	0.716	0.748	0.708	0.848	0.648	0.732	0.728	0.688	0.724	0.744	0.74	0.792	0.744	0.72	0.72
a103	0.86	0.832	0.708	0.804	0.688	0.0	0.808	0.792	0.796	0.704	0.684	0.648	0.708	0.68	0.76	0.716	0.712	0.704	0.76	0.752	0.764	0.772	0.812	0.716	0.792	0.68	0.744	0.78	0.796	0.72	0.78	0.772	0.784	0.772	0.732	0.736	0.672	0.772	0.856	0.776	0.768	0.748	0.772	0.888	0.768	0.66	0.764	0.776	0.788	0.768	0.684	0.724	0.74	0.708	0.816	0.764	0.716	0.728	0.716	0.716	0.72	0.708	0.684	0.68	0.708	0.74	0.76	0.676	0.696	0.72	0.78	0.74	0.8	0.772	0.784	0.756	0.82	0.716	0.684	0.74	0.776	0.7	0.776	0.704	0.72	0.736	0.716	0.804	0.764	0.744	0.684	0.656	0.768	0.752	0.696	0.824	0.776	0.764	0.748	0.74	0.748	0.736	0.752	0.768	0.82	0.732	0.78	0.716	0.828	0.692	0.724	0.668	0.668	0.716	0.704	0.732	0.768	0.668	0.756	0.704
a104	0.88	0.844	0.848	0.856	0.78	0.808	0.0	0.828	0.716	0.792	0.796	0.788	0.844	0.812	0.788	0.792	0.8	0.82	0.856	0.84	0.824	0.828	0.828	0.836	0.832	0.84	0.856	0.892	0.84	0.864	0.848	0.876	0.876	0.82	0.864	0.848	0.836	0.868	0.848	0.86	0.844	0.86	0.86	0.944	0.856	0.784	0.884	0.8	0.844	0.872	0.852	0.788	0.824	0.828	0.888	0.828	0.82	0.788	0.792	0.844	0.84	0.856	0.788	0.832	0.832	0.848	0.824	0.792	0.764	0.82	0.804	0.748	0.852	0.864	0.848	0.804	0.88	0.808	0.804	0.852	0.788	0.844	0.788	0.856	0.868	0.812	0.856	0.88	0.772	0.832	0.8	0.828	0.824	0.828	0.836	0.78	0.752	0.824	0.84	0.824	0.788	0.804	0.82	0.848	0.8	0.8	0.804	0.812	0.808	0.852	0.804	0.792	0.78	0.788	0.848	0.792	0.864	0.824	0.86	0.78
a105	0.86	0.796	0.732	0.824	0.744	0.792	0.828	0.0	0.824	0.696	0.768	0.764	0.728	0.8	0.748	0.672	0.772	0.796	0.624	0.704	0.716	0.708	0.736	0.748	0.696	0.8	0.784	0.892	0.788	0.872	0.816	0.82	0.8	0.832	0.776	0.796	0.78	0.86	0.82	0.792	0.768	0.824	0.804	0.92	0.8	0.736	0.8	0.864	0.812	0.76	0.82	0.8	0.736	0.704	0.828	0.788	0.772	0.692	0.764	0.792	0.74	0.78	0.78	0.776	0.812	0.752	0.74	0.764	0.724	0.644	0.832	0.744	0.732	0.696	0.804	0.696	0.86	0.664	0.796	0.812	0.772	0.788	0.672	0.84	0.708	0.7	0.672	0.82	0.8	0.832	0.688	0.76	0.772	0.76	0.768	0.876	0.796	0.804	0.752	0.736	0.784	0.736	0.8	0.648	0.876	0.74	0.676	0.668	0.852	0.788	0.7	0.78	0.776	0.852	0.736	0.748	0.808	0.724	0.748	0.756
a106	0.888	0.816	0.8	0.78	0.82	0.796	0.716	0.824	0.0	0.764	0.8	0.8	0.84	0.82	0.788	0.804	0.836	0.824	0.848	0.804	0.812	0.82	0.832	0.828	0.812	0.828	0.864	0.908	0.84	0.86	0.832	0.908	0.852	0.84	0.844	0.864	0.844	0.888	0.772	0.856	0.84	0.888	0.864	0.932	0.88	0.796	0.884	0.792	0.832	0.888	0.828	0.784	0.824	0.836	0.912	0.816	0.784	0.764	0.756	0.8	0.816	0.856	0.82	0.852	0.808	0.848	0.808	0.804	0.792	0.836	0.828	0.78	0.824	0.852	0.836	0.772	0.888	0.78	0.792	0.86	0.736	0.816	0.808	0.82	0.836	0.804	0.868	0.896	0.768	0.824	0.796	0.764	0.832	0.816	0.812	0.776	0.724	0.82	0.836	0.816	0.792	0.78	0.808	0.776	0.752	0.788	0.804	0.816	0.768	0.848	0.776	0.788	0.772	0.804	0.836	0.784	0.868	0.812	0.872	0.792
a107	0.872	0.804	0.744	0.784	0.716	0.704	0.792	0.696	0.764	0.0	0.72	0.7	0.704	0.76	0.72	0.696	0.72	0.784	0.732	0.692	0.716	0.732	0.712	0.72	0.76	0.72	0.76	0.876	0.76	0.804	0.76	0.824	0.812	0.8	0.792	0.804	0.728	0.836	0.824	0.816	0.744	0.816	0.824	0.904	0.768	0.692	0.816	0.824	0.784	0.792	0.792	0.708	0.736	0.672	0.816	0.752	0.748	0.656	0.724	0.744	0.708	0.748	0.716	0.772	0.748	0.756	0.74	0.72	0.672	0.672	0.736	0.716	0.8	0.756	0.788	0.736	0.804	0.692	0.712	0.764	0.74	0.664	0.676	0.764	0.692	0.704	0.76	0.832	0.776	0.788	0.672	0.688	0.784	0.76	0.724	0.86	0.792	0.772	0.768	0.748	0.74	0.672	0.708	0.664	0.868	0.732	0.712	0.608	0.816	0.748	0.72	0.704	0.716	0.764	0.708	0.716	0.78	0.712	0.772	0.732
a108	0.844	0.788	0.752	0.82	0.652	0.684	0.796	0.768	0.8	0.72	0.0	0.644	0.704	0.684	0.764	0.728	0.724	0.752	0.768	0.8	0.784	0.816	0.8	0.696	0.768	0.648	0.736	0.748	0.756	0.708	0.728	0.756	0.76	0.732	0.736	0.724	0.66	0.784	0.844	0.776	0.756	0.688	0.756	0.864	0.756	0.636	0.732	0.76	0.744	0.752	0.684	0.724	0.712	0.736	0.768	0.772	0.696	0.752	0.692	0.692	0.696	0.74	0.7	0.704	0.644	0.744	0.744	0.692	0.672	0.652	0.696	0.696	0.836	0.788	0.804	0.82	0.816	0.72	0.712	0.748	0.804	0.712	0.772	0.736	0.708	0.74	0.704	0.816	0.76	0.744	0.688	0.656	0.78	0.744	0.672	0.844	0.74	0.712	0.756	0.748	0.764	0.672	0.764	0.824	0.828	0.732	0.796	0.676	0.844	0.712	0.776	0.7	0.688	0.704	0.744	0.752	0.78	0.72	0.748	0.732
