gene	a100	a101	a102	a103	a104	a105	a106	a107	a108	a109	a10	a110	a111	a112	a113	a114	a115	a116	a117	a118	a119	a11	a120	a12	a13	a14	a15	a16	a17	a18	a19	a1	a20	a21	a22	a23	a24	a25	a26	a27	a28	a29	a2	a30	a31	a32	a33	a34	a35	a36	a37	a38	a39	a3	a40	a41	a42	a43	a44	a45	a46	a47	a48	a49	a4	a50	a51	a52	a53	a54	a55	a56	a57	a58	a59	a5	a60	a61	a62	a63	a64	a65	a66	a67	a68	a69	a6	a70	a71	a72	a73	a74	a75	a76	a77	a78	a79	a7	a80	a81	a82	a83	a84	a85	a86	a87	a88	a89	a8	a90	a91	a92	a93	a94	a95	a96	a97	a98	a99	a9
aminoglycoside__AAC(2')-Ib	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.723204348553804e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__AAC(3)-IId	0	0	0	0	4.025758740193253e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.497300451020246e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__AAC(3)-IIe	0	0	0	0	4.025758740193253e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.497300451020246e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__AAC(3)-IIIb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.993066045940791e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__AAC(3)-IV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00014051261279943047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00010486368697273625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__AAC(3)-VIIIa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.447235036612761e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__AAC(6')-Iad	5.8273628767592364e-05	0.0002600497271550704	7.273390571997922e-05	7.241774004340086e-05	0.00010606413687669016	0.00039079485059675164	0.00023366876025648664	0	0	9.41986514567915e-05	0.0002812506787055842	0.00039450789885512536	0.0001906574619548298	7.591562922291865e-05	0.00016473624616233204	0	0.000253205913696114	0.00021826099748701938	6.560836093252768e-05	7.260624069343208e-05	0.00020045525686535656	0.00028013715027416894	0.00023319094160395375	8.299111468712494e-05	6.001020771701974e-05	0.00019944513939091773	0	0.0004694946966078031	0	0.00012242201933954403	0.00014420611242927796	0.00012418140268894134	8.37365722694439e-05	6.991637030744448e-05	0.00015277673905344326	0.000273252318590275	0.0003396238539397538	0.0006714261691884243	0.0001256964911051081	0.0001942825539713025	8.644956919460384e-05	9.552906106294614e-05	0	6.48999327322538e-05	0.0002476181596745399	0.00013947599019928744	0.0002034338323233	0.00019610862252575638	0.00026368946006199886	0.0001471805709717426	0	0.0002524791229291528	6.616181959339247e-05	0	0.0001236017228522026	0.00011484367200313097	0.00018389372916533935	8.969323418696206e-05	7.541407389892636e-05	0.0002044134900629605	6.413437505170414e-05	5.491737761256249e-05	0.00019349700772498677	5.850400263445158e-05	0.00021739095815002165	5.0512919290056025e-05	5.027334471169887e-05	0.00010107578455717184	0.0004698386017699376	0	0.00019184033830091797	7.733704520046069e-05	0.00045702634719082375	0.0004436241398972174	0.00019064314517889673	5.602230494618094e-05	0.00014764364897703247	5.0198934568514715e-05	7.066788192561284e-05	0.00014260784042165317	5.615793745931883e-05	0.0002772439107868114	6.162020041171344e-05	0.00013763410794972325	0	0.0005879710706131695	0	0.00023212961283678975	0.0002035096686011839	0.00032907836269453143	0.00018556177924688788	0.0003547641017905559	6.238358690899848e-05	7.922008293088533e-05	0.00019511642173879686	0	0	0.00016425733029796417	0.00023388889703085755	0.0001879960051991561	7.212651226482555e-05	0	0.00030252462997684855	0	0.00013704002663552454	0.0002058179184004693	0.00024909056268177757	0.00021578513496645673	4.593457557835794e-05	0	4.827701743885574e-05	0.0002536492775061933	0.0001753532397177852	0.0004546635457437637	0.00039104986395834755	0.00021478605835301387	0.00024162433448254265	0	0.000159541235469736	0.0004423477938286217
aminoglycoside__AAC(6')-Ib10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.200190236977991e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__AAC(6')-Ib8	0	0	0	0	0	0	0	0	0	0	2.7692374518703676e-05	3.8335427239534696e-05	3.877295674894483e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.674997504100191e-05	0	0	0	0	0	0	3.843250912054909e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.71023754606215e-05	0	0	0	0	0	3.485736062113855e-05	0	0	0	0	0	0	0	2.89615673340342e-05	0	3.183283103099531e-05	5.660244361302954e-05	0	0	0	0
aminoglycoside__AAC(6')-Ib-cr	0	0	0	0	0.00018289980623260922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001487468603254574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
