gene	a100	a101	a102	a103	a104	a105	a106	a107	a108	a109	a10	a110	a111	a112	a113	a114	a115	a116	a117	a118	a119	a11	a120	a12	a13	a14	a15	a16	a17	a18	a19	a1	a20	a21	a22	a23	a24	a25	a26	a27	a28	a29	a2	a30	a31	a32	a33	a34	a35	a36	a37	a38	a39	a3	a40	a41	a42	a43	a44	a45	a46	a47	a48	a49	a4	a50	a51	a52	a53	a54	a55	a56	a57	a58	a59	a5	a60	a61	a62	a63	a64	a65	a66	a67	a68	a69	a6	a70	a71	a72	a73	a74	a75	a76	a77	a78	a79	a7	a80	a81	a82	a83	a84	a85	a86	a87	a88	a89	a8	a90	a91	a92	a93	a94	a95	a96	a97	a98	a99	a9
aminoglycoside	0.0058680144671286565	0.0021876275922410172	0.004554934389583003	0.0038588873910189968	0.00876679591862247	0.002548023059226462	0.007275292692146504	0.004683851134261957	0.004118391237051131	0.005461395404021697	0.004278923125089372	0.00393147601871525	0.005119987207007982	0.005418941475818848	0.003890901825418288	0.004231721367819767	0.005673609547764899	0.002803784530807914	0.0034599022880851837	0.0023233658885853147	0.0034598757444350148	0.006011696710742974	0.005181141883462515	0.005244995884304046	0.007575686497658932	0.001711171228946306	0.0032402722906677305	0.003702270706959848	0.0032707518041113913	0.00415189184407945	0.004549883840829823	0.00433574958096604	0.0033349203876969205	0.003284748382043376	0.004490502325948293	0.003061309631345125	0.0029441368973735127	0.004998711403640021	0.0018019075957783311	0.006451070789160668	0.0016937753936641458	0.0023512246886680075	0.001174780146156817	0.006611511323647334	0.0028229005607173217	0.003967371989818246	0.006518414770562338	0.006184730839336412	0.007176373096737684	0.005060093487976805	0.004881277484202194	0.008184432165888288	0.004101293923674912	0.0008367530163798898	0.003371058330206892	0.002399206007347552	0.004884481544752825	0.004784372260863167	0.0048541246745591885	0.003382681711179815	0.0016535440959040044	0.003105741159494866	0.005252603703826423	0.003641693123238368	0.006595490823954846	0.0030393932726574552	0.004721104633627592	0.0034102335391629256	0.003808759494152701	0.006049352361100339	0.00443251041084936	0.0027557258264283993	0.012469990658619697	0.004950261840304086	0.0038558698548174122	0.0015464387150859694	0.004680626252396327	0.0044935572534379594	0.005771826015962411	0.006926626109982849	0.004362766063820314	0.00525480832175444	0.004362794142678319	0.00493014627892151	0.004797875951241264	0.003964841310698615	0.0018977400104016186	0.004593626622790634	0.004000260142287299	0.004648239046380441	0.004193639175602331	0.0028384294015578954	0.0019274325330251169	0.0017731277772629376	0.0035571502867852373	0.0032547510542474175	0.0017026069485471741	0.0028589091834581282	0.004389840732337556	0.004301447341114978	0.0017969933518340818	0.004319174927539185	0.00604414190403999	0.0030486256259774354	0.004602421858557729	0.006696198048969133	0.0036571006644555036	0.011502776539861577	0.002475571513226378	0.0032919686657781715	0.0032584915864514526	0.003787911990318712	0.0051334840246392375	0.004162860945732761	0.005830332733711007	0.005106456563453637	0.004172912784704682	0.003102401787044368	0.004189003728012872	0.0036278560086218893
antibacterial_fatty_acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.235721759535422e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacitracin	0.02466806927519227	0.020906710809088774	0.027207528754181493	0.027735753108103348	0.023141154406792964	0.042001445014198176	0.024930213931083814	0.024975151151383965	0.02843182988404414	0.026192216427296747	0.021209660414915177	0.029464723221251335	0.026018626134152543	0.02825491384126397	0.030951940669747886	0.021034080083140727	0.0352217222302878	0.027453380538241538	0.023077095107036708	0.02587695870287386	0.027799843693696147	0.027207243983837545	0.027196183813053915	0.02095608788521942	0.03172936871355872	0.02160799916034938	0.020683905905777716	0.02521147019868119	0.024079713032529666	0.01991502098219731	0.020730915632499243	0.023983119588379672	0.02611729112442903	0.031926715811109244	0.02840820157795109	0.04191153781486109	0.01924060177283288	0.023677245478483107	0.03216902604158525	0.026868589500528558	0.030259380562679808	0.025895582895905638	0.02307328629680888	0.029485312357854496	0.02971448799739866	0.02695965194233439	0.021826852779034525	0.026561778395978085	0.034939848767559525	0.0267371514434303	0.028320756067932253	0.02636863004483477	0.028533349199015828	0.009122165727716874	0.01985408536632628	0.024853570757271622	0.023073864685729386	0.026344978865562623	0.02452555426566876	0.0227086305215338	0.027155888317042114	0.023952567777988452	0.024883102319420383	0.02630438593204485	0.02351462988383157	0.026835384223434934	0.025278576717905878	0.02532809550553735	0.04220541236211507	0.022501884143047428	0.027839308846271064	0.026506459174583157	0.034015413733079355	0.026691034470488383	0.02623480007462615	0.026706073032790066	0.03418179624453082	0.026917396739558692	0.024456378519031343	0.026651090192580135	0.02495262217821224	0.02882944120882219	0.025235438960586214	0.03192448928563275	0.02955414860882407	0.04156924218968309	0.024160347410916747	0.022109101166469348	0.023800809163841342	0.029946713732583924	0.023602938546570074	0.023560157087799256	0.02421498516481507	0.02858213247556146	0.021898243002224507	0.024319563482900732	0.020685438012206365	0.01997581847133759	0.022128481895569947	0.024156713992037424	0.028271971316706623	0.02394276903381399	0.029135585728179838	0.02180087094774264	0.02615153586895621	0.02760257606532003	0.02593475714769727	0.02250395282293522	0.027438914673304764	0.0245214555341724	0.024466027170909937	0.02749094442111296	0.022336402060335474	0.025902447540876932	0.028337491625094042	0.02417094626147774	0.025174409967442003	0.03262817200559024	0.030088642870532367	0.02869876195983676
beta_lactam	0.13531285405939864	0.06198521692069806	0.20443963960083752	0.15548560965119632	0.17039950277635735	0.10336279530091966	0.152575735298348	0.20362241411395676	0.19307635134477125	0.10636536949117549	0.204094483472692	0.17515007363089585	0.17570453812373332	0.13273935023804895	0.1960729946991473	0.14313112196034763	0.12091491808194198	0.1750741808930471	0.2324718361499783	0.256604620073009	0.1467662104995376	0.1211932956574299	0.13068492841784984	0.09807610947494054	0.15432318397490563	0.12346098919335403	0.06951362886907697	0.11564725678224572	0.14351885900234068	0.23192438147476827	0.1567272898140629	0.1385323274205229	0.11816660683398349	0.10362700337311603	0.0898257358270852	0.11004538047280246	0.13882112177507838	0.1252071791930931	0.08138810887776647	0.1652659566523535	0.06856334963674407	0.13922574583757685	0.047796572613376956	0.1158977342410948	0.23917051986013477	0.10314171183908394	0.16200066647522182	0.1413790538982086	0.11106435997087445	0.15622367871571924	0.18837143292048822	0.1412090021573621	0.10956076331432625	0.034073334808471196	0.1956559106027322	0.1418976005191665	0.23031120492760843	0.15594977913694805	0.18317619464988533	0.0963505488802938	0.10278428327964932	0.16578617274015453	0.1790001161444419	0.2105333867736334	0.13552875381008186	0.14134108084697086	0.17699900367051863	0.16021847544154572	0.1698495014929254	0.20739410839619987	0.14851095314313373	0.049566176444758095	0.08276045435920619	0.13216981012201648	0.1349979552011904	0.06992734765344819	0.14908632713688846	0.18632727112763148	0.15786627786028182	0.13806681530270026	0.18055475458329043	0.09488495822739978	0.20215193813449822	0.10032067331391069	0.19499325564776432	0.09241568941856143	0.07110132590946926	0.1316519526068619	0.13658704867327554	0.13460474615219228	0.17839184653201096	0.16791943554367397	0.175005083206431	0.13786531855204545	0.1690562816835892	0.07484892029954304	0.09660426112382604	0.14625559288857526	0.17231531473214484	0.12705944346723008	0.07694201597924369	0.16030391879658448	0.11788170711690309	0.09496980019896067	0.15121899113362972	0.13105518201264318	0.21820506557874983	0.11827461635238076	0.11211988442880433	0.1346422414647714	0.18497188154930802	0.18521413197148695	0.22349555416424707	0.1634193899162886	0.14031335914624504	0.18479708023583802	0.15211060081510283	0.06492612039810979	0.14605238245604232	0.08483204157915887
chloramphenicol	2.4974412328968154e-05	0	0	0	0.00011077291833802893	3.50006350155458e-05	0.00011695620951315285	0	0	0	0	0	0	0	0	1.7856397567487872e-05	0	2.8914592391884663e-05	0	0	0	2.8249124397395183e-05	0	0	0	0	3.735018062752203e-05	0	0	0	0	0	0	0	0	0.00012658506289951456	0.0002477015849472573	3.933753554467869e-05	0	0	0.0001340175139667543	0	0	0	0.00012303744746803137	8.962068768010025e-05	0	6.38409874572338e-05	0	6.610318202211632e-05	0.0001581470382920197	6.412176670386964e-05	0.0003509930263406148	0	2.9984245435844293e-05	0	0	0.00014160207603204107	0	0	7.15752151239665e-05	0	0	0	3.147578674275329e-05	0	3.3601280693923195e-05	2.9283182392227478e-05	0	4.1745292416825957e-05	5.646337941381225e-05	0.0007320181003606694	6.864452471540082e-05	0	3.900627011332925e-05	0	3.918209670460136e-05	0	0	5.9626971604872405e-05	0	3.3624917459858175e-05	3.1388575556660564e-05	3.449652833522475e-05	0	0	0	3.1037981214249115e-05	0	0	0	0.00010646661347729223	3.6876997187585304e-05	0	0.00010018255609506478	0.00020859559706817087	0	0	0	0	0	0	0	0	0	0	0	2.1265596313651995e-05	0	0	0	0	0	0	0	0	0	9.633053396131178e-05	0	0
defensin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4676573625619814e-05	0	0	0	0	0	4.1046263768825554e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.079060008736968e-05	0	0	4.553197400627752e-05	0	0	0	4.689397603507565e-05	0	0	5.4280644615985396e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
florfenicol	2.5963497965758975e-05	0	0	0	0.00022624861733757333	0	0.00011490079097962961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.703426957934997e-05	6.005175179690511e-05	0	0	0	0	0	0	4.631308639918017e-05	0	0	0	0	0	0	0	0	0	2.5846407657667073e-05	0.0001761378953113888	0	0	0	0	0	0	0	2.7810325297648115e-05	0	0	0.00019406536061218743	0	0	0	0	6.917605688545398e-05	0	0	0	0	0	0	9.287480277046937e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.0003021475828155529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.040495552411583e-05	0	0	0	0	0	0.00010381991197249419	0
fosfomycin	0	0	0	0	0	0	0	0	0	0.0003321944279945627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00015649823220260104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7027215653308195e-05	0	0.00019377057689797835	0	0	0	0	7.888777069929142e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00018556693459201138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9486826602587314e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	7.32463372681669e-05	0
fusidic_acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00010966971411625014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MLS	0.09063306389347783	0.04868559299350957	0.11508286887695932	0.08281126076054038	0.08855445866677641	0.06503078472555356	0.08958971168277499	0.09794572599295362	0.10842954146959677	0.08897921016563626	0.0782030988772868	0.10480523230865885	0.07891367892933368	0.08243946653439012	0.08572046025050427	0.07161447485414142	0.07732740914742522	0.07199622127428462	0.07398902102789041	0.07519003154778722	0.09745315958793165	0.07056031574778034	0.08691580666991404	0.09004114592913795	0.09937467685386961	0.04546546301374257	0.03418850844305975	0.0964243187369856	0.06408596952780642	0.061621487325421255	0.06713761433380318	0.07872034823262487	0.06411520697758115	0.06347687329838479	0.0823405683541665	0.058271597863672406	0.1334425881993133	0.05726968214306454	0.04718141266144324	0.08980674811529504	0.05100431911911025	0.049746294287091646	0.03728796454618456	0.06228477968986763	0.07466718689911175	0.06767858976950039	0.08814535134771963	0.05773205778325931	0.09103130110316063	0.09295076284994719	0.10827276736571177	0.07853618653631488	0.058215836481491146	0.022942334123437876	0.1094364557662191	0.06855608513345321	0.09856085167551172	0.07670505970694083	0.09382345131616535	0.060023188785112	0.07026166057483436	0.07932595069499185	0.10037112029830678	0.10507592798044019	0.04872527127722325	0.07528585012494687	0.08700132292891581	0.10522707366926529	0.08021903433155964	0.22444999633408189	0.09602342771431954	0.039662019813927744	0.08236093235811932	0.11693439865839515	0.06515465183752712	0.049380586708476705	0.0915129164743416	0.09014287502841976	0.10600341289213139	0.17046199397831094	0.0939029881332644	0.07436551067170591	0.1041503555755556	0.10445738450195255	0.06844762456775372	0.06824006123204167	0.04433014926135875	0.08839989305952826	0.09570822500669197	0.11442160255542337	0.0967586138852702	0.08547372070519647	0.08991987186795712	0.07843975847868223	0.09398295357072987	0.05513448280814189	0.06748770231469377	0.06400545271872314	0.09226260272347829	0.08016135368642596	0.048875694090935444	0.09912567521638475	0.06861284530865339	0.04742984990642219	0.07019377571249819	0.07029825217892069	0.08099292881981539	0.10827118361617051	0.062403986823965245	0.08047065024595028	0.09935349554399066	0.11323330167966167	0.09098146242780632	0.09637129688963415	0.10173176876916688	0.10387385148020932	0.07645423593523086	0.06579615030721445	0.11302140560200588	0.05689424285406347
