"Pathway","Group_ref","Group_test","Comparison","Mean_ref","Mean_test","Median_ref","Median_test","Prevalence_ref","Prevalence_test","Mean_difference","Log2FC","P_value","FDR","Pathway_ID","Description","Direction","NegLog10P","NegLog10FDR"
"PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)","ITM","OTM1","OTM1 vs ITM",1.99051086666667e-05,1.21273363333333e-05,2.083375e-05,1.16041e-05,30,29,-7.77777233333334e-06,-0.714871389620975,0.000421750846830314,0.0650872781790266,"PWY4LZ-257","superpathway of fermentation (Chlamydomonas reinhardtii)","Not significant",3.37494403672138,1.18650388941287
"PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)","ITM","OTM1","OTM1 vs ITM",3.21407196666667e-05,2.10866896666667e-05,2.94378e-05,1.94667e-05,30,30,-1.105403e-05,-0.608067251155966,0.000769728869832386,0.0650872781790266,"PWY0-1586","peptidoglycan maturation (meso-diaminopimelate containing)","Not significant",3.11366222427102,1.18650388941287
"PWY1ZNC-1: assimilatory sulfate reduction IV","ITM","OTM1","OTM1 vs ITM",3.66648366666667e-06,2.58038056666667e-06,3.377455e-06,2.534415e-06,30,29,-1.0861031e-06,-0.50679669430182,0.000856411554987192,0.0650872781790266,"PWY1ZNC-1","assimilatory sulfate reduction IV","Not significant",3.06731748169366,1.18650388941287
"""PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II""","ITM","OTM1","OTM1 vs ITM",2.22543833333333e-06,3.08301733333333e-06,2.32518e-06,3.110015e-06,27,30,8.57579e-07,0.470235444319069,0.000769207769416211,0.0650872781790266,"""PWY-7371","1,4-dihydroxy-6-naphthoate biosynthesis II""","Not significant",3.11395633780128,1.18650388941287
"PWY-5838: superpathway of menaquinol-8 biosynthesis I","ITM","OTM1","OTM1 vs ITM",1.983563e-06,7.04447666666667e-07,1.828975e-06,0,18,6,-1.27911533333333e-06,-1.49339772886465,0.00465478747913681,0.0702966183136677,"PWY-5838","superpathway of menaquinol-8 biosynthesis I","Not significant",2.33210014255484,1.15306556663079
"PWY-5840: superpathway of menaquinol-7 biosynthesis","ITM","OTM1","OTM1 vs ITM",2.22573766666667e-06,7.96377e-07,1.94903e-06,0,19,7,-1.42936066666667e-06,-1.48264377230979,0.00293158613568824,0.0702966183136677,"PWY-5840","superpathway of menaquinol-7 biosynthesis","Not significant",2.53289734087726,1.15306556663079
"PWY-5897: superpathway of menaquinol-11 biosynthesis","ITM","OTM1","OTM1 vs ITM",2.10266333333333e-06,7.65683e-07,1.75561e-06,0,19,7,-1.33698033333333e-06,-1.45727894488442,0.00362075391346919,0.0702966183136677,"PWY-5897","superpathway of menaquinol-11 biosynthesis","Not significant",2.44120099124325,1.15306556663079
"PWY-5898: superpathway of menaquinol-12 biosynthesis","ITM","OTM1","OTM1 vs ITM",2.10266333333333e-06,7.65683e-07,1.75561e-06,0,19,7,-1.33698033333333e-06,-1.45727894488442,0.00362075391346919,0.0702966183136677,"PWY-5898","superpathway of menaquinol-12 biosynthesis","Not significant",2.44120099124325,1.15306556663079
"PWY-5899: superpathway of menaquinol-13 biosynthesis","ITM","OTM1","OTM1 vs ITM",2.10266333333333e-06,7.65683e-07,1.75561e-06,0,19,7,-1.33698033333333e-06,-1.45727894488442,0.00362075391346919,0.0702966183136677,"PWY-5899","superpathway of menaquinol-13 biosynthesis","Not significant",2.44120099124325,1.15306556663079
"GLYOXYLATE-BYPASS: glyoxylate cycle","ITM","OTM1","OTM1 vs ITM",3.10585426666667e-06,1.45419416666667e-06,2.176475e-06,6.196505e-07,27,17,-1.6516601e-06,-1.09471746781892,0.00172157689096859,0.0702966183136677,"GLYOXYLATE-BYPASS","glyoxylate cycle","Not significant",2.7640735755863,1.15306556663079
